<android.widget.EditText: android.text.Editable getText()> -> _SOURCE_
<com.android.volley.RequestQueue: com.android.volley.Request add(com.android.volley.Request)> -> _SINK_
<cz.msebera.android.httpclient.client.HttpClient: cz.msebera.android.httpclient.HttpResponse execute(cz.msebera.android.httpclient.HttpHost,cz.msebera.android.httpclient.HttpRequest)> -> _SINK_
<cz.msebera.android.httpclient.client.HttpClient: cz.msebera.android.httpclient.HttpResponse execute(cz.msebera.android.httpclient.HttpHost,cz.msebera.android.httpclient.HttpRequest,cz.msebera.android.httpclient.protocol.HttpContext)> -> _SINK_
<cz.msebera.android.httpclient.client.HttpClient: cz.msebera.android.httpclient.HttpResponse execute(cz.msebera.android.httpclient.client.methods.HttpUriRequest)> -> _SINK_
<cz.msebera.android.httpclient.client.HttpClient: cz.msebera.android.httpclient.HttpResponse execute(cz.msebera.android.httpclient.client.methods.HttpUriRequest,cz.msebera.android.httpclient.protocol.HttpContext)> -> _SINK_
<cz.msebera.android.httpclient.client.HttpClient: java.lang.Object execute(cz.msebera.android.httpclient.HttpHost,cz.msebera.android.httpclient.HttpRequest,cz.msebera.android.httpclient.client.ResponseHandler)> -> _SINK_
<cz.msebera.android.httpclient.client.HttpClient: java.lang.Object execute(cz.msebera.android.httpclient.HttpHost,cz.msebera.android.httpclient.HttpRequest,cz.msebera.android.httpclient.client.ResponseHandler,cz.msebera.android.httpclient.protocol.HttpContext)> -> _SINK_
<cz.msebera.android.httpclient.client.HttpClient: java.lang.Object execute(cz.msebera.android.httpclient.client.methods.HttpUriRequest,cz.msebera.android.httpclient.client.ResponseHandler)> -> _SINK_
<cz.msebera.android.httpclient.client.HttpClient: java.lang.Object execute(cz.msebera.android.httpclient.client.methods.HttpUriRequest,cz.msebera.android.httpclient.client.ResponseHandler,cz.msebera.android.httpclient.protocol.HttpContext)> -> _SINK_
<okhttp3.Call: void enqueue(okhttp3.Callback)> -> _SINK_
<okhttp3.Call: okhttp3.Response execute()> -> _SINK_
<retrofit2.Call: retrofit2.Response execute()> -> _SINK_
<rx.Observable: rx.Subscription subscribe(rx.Observer)> -> _SINK_
<android.bluetooth.BluetoothOutputStream: void write(byte[],int,int)> -> _SINK_
<android.content.res.AssetFileDescriptor$AutoCloseOutputStream: void write(byte[])> -> _SINK_
<android.content.res.AssetFileDescriptor$AutoCloseOutputStream: void write(byte[],int,int)> -> _SINK_
<android.content.res.AssetFileDescriptor$AutoCloseOutputStream: void write(int)> -> _SINK_
<android.filterfw.core.SerializedFrame$DirectByteOutputStream: void write(byte[])> -> _SINK_
<android.filterfw.core.SerializedFrame$DirectByteOutputStream: void write(byte[],int,int)> -> _SINK_
<android.filterfw.core.SerializedFrame$DirectByteOutputStream: void write(int)> -> _SINK_
<android.media.MediaMetadataRetriever: void setDataSource(android.content.Context,android.net.Uri)> -> _SINK_
<android.media.MediaMetadataRetriever: void setDataSource(java.lang.String,java.util.Map)> -> _SINK_
<android.media.MediaPlayer: void setDataSource(android.content.Context,android.net.Uri)> -> _SINK_
<android.media.MediaPlayer: void setDataSource(android.content.Context,android.net.Uri,java.util.Map)> -> _SINK_
<android.media.MediaPlayer: void setDataSource(java.lang.String)> -> _SINK_
<android.media.MediaPlayer: void setDataSource(java.lang.String,java.util.Map)> -> _SINK_
<android.net.ConnectivityManager: boolean setRadio(int,boolean)> -> _SINK_
<android.net.ConnectivityManager: boolean setRadios(boolean)> -> _SINK_
<android.net.ConnectivityManager: int setUsbTethering(boolean)> -> _SINK_
<android.net.ConnectivityManager: int startUsingNetworkFeature(int,java.lang.String)> -> _SINK_
<android.net.ConnectivityManager: void setBackgroundDataSetting(boolean)> -> _SINK_
<android.net.ConnectivityManager: void setDataDependency(int,boolean)> -> _SINK_
<android.net.ConnectivityManager: void setGlobalProxy(android.net.ProxyProperties)> -> _SINK_
<android.net.ConnectivityManager: void setMobileDataEnabled(boolean)> -> _SINK_
<android.net.ConnectivityManager: void setNetworkPreference(int)> -> _SINK_
<android.net.IConnectivityManager$Stub$Proxy: boolean prepareVpn(java.lang.String,java.lang.String)> -> _SINK_
<android.net.IConnectivityManager$Stub$Proxy: boolean requestRouteToHost(int,int)> -> _SINK_
<android.net.IConnectivityManager$Stub$Proxy: boolean requestRouteToHostAddress(int,byte[])> -> _SINK_
<android.net.IConnectivityManager$Stub$Proxy: boolean setRadio(int,boolean)> -> _SINK_
<android.net.IConnectivityManager$Stub$Proxy: boolean setRadios(boolean)> -> _SINK_
<android.net.IConnectivityManager$Stub$Proxy: int setUsbTethering(boolean)> -> _SINK_
<android.net.IConnectivityManager$Stub$Proxy: int startUsingNetworkFeature(int,java.lang.String,android.os.IBinder)> -> _SINK_
<android.net.IConnectivityManager$Stub$Proxy: int stopUsingNetworkFeature(int,java.lang.String)> -> _SINK_
<android.net.IConnectivityManager$Stub$Proxy: int tether(java.lang.String)> -> _SINK_
<android.net.IConnectivityManager$Stub$Proxy: int untether(java.lang.String)> -> _SINK_
<android.net.IConnectivityManager$Stub$Proxy: void reportInetCondition(int,int)> -> _SINK_
<android.net.IConnectivityManager$Stub$Proxy: void requestNetworkTransitionWakelock(java.lang.String)> -> _SINK_
<android.net.IConnectivityManager$Stub$Proxy: void setDataDependency(int,boolean)> -> _SINK_
<android.net.IConnectivityManager$Stub$Proxy: void setGlobalProxy(android.net.ProxyProperties)> -> _SINK_
<android.net.IConnectivityManager$Stub$Proxy: void setMobileDataEnabled(boolean)> -> _SINK_
<android.net.IConnectivityManager$Stub$Proxy: void setNetworkPreference(int)> -> _SINK_
<android.net.IConnectivityManager$Stub$Proxy: void setPolicyDataEnable(int,boolean)> -> _SINK_
<android.net.INetworkPolicyListener$Stub$Proxy: void onMeteredIfacesChanged(java.lang.String[])> -> _SINK_
<android.net.INetworkPolicyListener$Stub$Proxy: void onUidRulesChanged(int,int)> -> _SINK_
<android.net.INetworkPolicyManager$Stub$Proxy: void registerListener(android.net.INetworkPolicyListener)> -> _SINK_
<android.net.INetworkPolicyManager$Stub$Proxy: void setNetworkPolicies(android.net.NetworkPolicy[])> -> _SINK_
<android.net.INetworkPolicyManager$Stub$Proxy: void setRestrictBackground(boolean)> -> _SINK_
<android.net.INetworkPolicyManager$Stub$Proxy: void setUidPolicy(int,int)> -> _SINK_
<android.net.INetworkPolicyManager$Stub$Proxy: void unregisterListener(android.net.INetworkPolicyListener)> -> _SINK_
<android.net.INetworkStatsService$Stub$Proxy: void incrementOperationCount(int,int,int)> -> _SINK_
<android.net.INetworkStatsService$Stub$Proxy: void setUidForeground(int,boolean)> -> _SINK_
<android.net.LinkCapabilities: void put(int,java.lang.String)> -> _SINK_
<android.net.LinkProperties: void writeToParcel(android.os.Parcel,int)> -> _SINK_
<android.net.LocalSocket: void setReceiveBufferSize(int)> -> _SINK_
<android.net.LocalSocket: void setSendBufferSize(int)> -> _SINK_
<android.net.LocalSocket: void setSoTimeout(int)> -> _SINK_
<android.net.LocalSocketImpl$SocketOutputStream: void write(byte[])> -> _SINK_
<android.net.LocalSocketImpl$SocketOutputStream: void write(byte[],int,int)> -> _SINK_
<android.net.LocalSocketImpl$SocketOutputStream: void write(int)> -> _SINK_
<android.net.NetworkPolicy: void writeToParcel(android.os.Parcel,int)> -> _SINK_
<android.net.NetworkPolicyManager: void setNetworkPolicies(android.net.NetworkPolicy[])> -> _SINK_
<android.net.NetworkPolicyManager: void setUidPolicy(int,int)> -> _SINK_
<android.net.NetworkState: void writeToParcel(android.os.Parcel,int)> -> _SINK_
<android.net.NetworkStats: void dump(java.lang.String,java.io.PrintWriter)> -> _SINK_
<android.net.NetworkStatsHistory$DataStreamUtils: void writeVarLong(java.io.DataOutputStream,long)> -> _SINK_
<android.net.NetworkStatsHistory$DataStreamUtils: void writeVarLongArray(java.io.DataOutputStream,long[],int)> -> _SINK_
<android.net.NetworkStatsHistory$ParcelUtils: void writeLongArray(android.os.Parcel,long[],int)> -> _SINK_
<android.net.NetworkStatsHistory: void writeToParcel(android.os.Parcel,int)> -> _SINK_
<android.net.NetworkStatsHistory: void writeToStream(java.io.DataOutputStream)> -> _SINK_
<android.net.Proxy: void setHttpProxySystemProperty(java.lang.String,java.lang.String,java.lang.String)> -> _SINK_
<android.net.TrafficStats: void setThreadStatsUid(int)> -> _SINK_
<android.net.Uri$HierarchicalUri: void writeToParcel(android.os.Parcel,int)> -> _SINK_
<android.net.Uri$OpaqueUri: void writeToParcel(android.os.Parcel,int)> -> _SINK_
<android.net.http.AndroidHttpClient: java.lang.Object execute(org.apache.http.HttpHost,org.apache.http.HttpRequest,org.apache.http.client.ResponseHandler)> -> _SINK_
<android.net.http.AndroidHttpClient: java.lang.Object execute(org.apache.http.HttpHost,org.apache.http.HttpRequest,org.apache.http.client.ResponseHandler,org.apache.http.protocol.HttpContext)> -> _SINK_
<android.net.http.AndroidHttpClient: java.lang.Object execute(org.apache.http.client.methods.HttpUriRequest,org.apache.http.client.ResponseHandler)> -> _SINK_
<android.net.http.AndroidHttpClient: java.lang.Object execute(org.apache.http.client.methods.HttpUriRequest,org.apache.http.client.ResponseHandler,org.apache.http.protocol.HttpContext)> -> _SINK_
<android.net.http.AndroidHttpClient: org.apache.http.HttpResponse execute(org.apache.http.HttpHost,org.apache.http.HttpRequest)> -> _SINK_
<android.net.http.AndroidHttpClient: org.apache.http.HttpResponse execute(org.apache.http.HttpHost,org.apache.http.HttpRequest,org.apache.http.protocol.HttpContext)> -> _SINK_
<android.net.http.AndroidHttpClient: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest)> -> _SINK_
<android.net.http.AndroidHttpClient: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest,org.apache.http.protocol.HttpContext)> -> _SINK_
<android.net.http.AndroidHttpClientConnection: void setSocketTimeout(int)> -> _SINK_
<android.net.http.Headers: void setAcceptRanges(java.lang.String)> -> _SINK_
<android.net.http.Headers: void setCacheControl(java.lang.String)> -> _SINK_
<android.net.http.Headers: void setContentDisposition(java.lang.String)> -> _SINK_
<android.net.http.Headers: void setContentEncoding(java.lang.String)> -> _SINK_
<android.net.http.Headers: void setContentType(java.lang.String)> -> _SINK_
<android.net.http.Headers: void setEtag(java.lang.String)> -> _SINK_
<android.net.http.Headers: void setExpires(java.lang.String)> -> _SINK_
<android.net.http.Headers: void setLastModified(java.lang.String)> -> _SINK_
<android.net.http.Headers: void setLocation(java.lang.String)> -> _SINK_
<android.net.http.Headers: void setProxyAuthenticate(java.lang.String)> -> _SINK_
<android.net.http.Headers: void setWwwAuthenticate(java.lang.String)> -> _SINK_
<android.net.http.Headers: void setXPermittedCrossDomainPolicies(java.lang.String)> -> _SINK_
<android.net.http.HttpsConnection: android.net.http.AndroidHttpClientConnection openConnection(android.net.http.Request)> -> _SINK_
<android.net.http.RequestHandle: boolean setupRedirect(java.lang.String,int,java.util.Map)> -> _SINK_
<android.net.http.RequestHandle: void setupBasicAuthResponse(boolean,java.lang.String,java.lang.String)> -> _SINK_
<android.net.http.RequestHandle: void setupDigestAuthResponse(boolean,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)> -> _SINK_
<android.net.http.RequestQueue: void queueRequest(android.net.http.Request,boolean)> -> _SINK_
<android.net.http.SslCertificate: android.os.Bundle saveState(android.net.http.SslCertificate)> -> _SINK_
<android.net.rtp.AudioGroup: void sendDtmf(int)> -> _SINK_
<android.net.sip.ISipService$Stub$Proxy: boolean isRegistered(java.lang.String)> -> _SINK_
<android.net.sip.ISipService$Stub$Proxy: void close(java.lang.String)> -> _SINK_
<android.net.sip.ISipSession$Stub$Proxy: void answerCall(java.lang.String,int)> -> _SINK_
<android.net.sip.ISipSession$Stub$Proxy: void changeCall(java.lang.String,int)> -> _SINK_
<android.net.sip.ISipSession$Stub$Proxy: void register(int)> -> _SINK_
<android.net.sip.SimpleSessionDescription$Fields: void setAddress(java.lang.String)> -> _SINK_
<android.net.sip.SimpleSessionDescription$Fields: void setAttribute(java.lang.String,java.lang.String)> -> _SINK_
<android.net.sip.SimpleSessionDescription$Fields: void setBandwidth(java.lang.String,int)> -> _SINK_
<android.net.sip.SimpleSessionDescription$Fields: void setEncryption(java.lang.String,java.lang.String)> -> _SINK_
<android.net.sip.SimpleSessionDescription$Media: void setAddress(java.lang.String)> -> _SINK_
<android.net.sip.SimpleSessionDescription$Media: void setAttribute(java.lang.String,java.lang.String)> -> _SINK_
<android.net.sip.SimpleSessionDescription$Media: void setBandwidth(java.lang.String,int)> -> _SINK_
<android.net.sip.SimpleSessionDescription$Media: void setEncryption(java.lang.String,java.lang.String)> -> _SINK_
<android.net.sip.SimpleSessionDescription$Media: void setFormat(java.lang.String,java.lang.String)> -> _SINK_
<android.net.sip.SimpleSessionDescription$Media: void setRtpPayload(int,java.lang.String,java.lang.String)> -> _SINK_
<android.net.sip.SimpleSessionDescription: void setAddress(java.lang.String)> -> _SINK_
<android.net.sip.SimpleSessionDescription: void setAttribute(java.lang.String,java.lang.String)> -> _SINK_
<android.net.sip.SimpleSessionDescription: void setBandwidth(java.lang.String,int)> -> _SINK_
<android.net.sip.SimpleSessionDescription: void setEncryption(java.lang.String,java.lang.String)> -> _SINK_
<android.net.sip.SipAudioCall: void sendDtmf(int)> -> _SINK_
<android.net.sip.SipAudioCall: void setSpeakerMode(boolean)> -> _SINK_
<android.net.sip.SipManager: android.content.Intent createIncomingCallBroadcast(java.lang.String,java.lang.String)> -> _SINK_
<android.net.wifi.IWifiManager$Stub$Proxy: boolean acquireWifiLock(android.os.IBinder,int,java.lang.String,android.os.WorkSource)> -> _SINK_
<android.net.wifi.IWifiManager$Stub$Proxy: boolean disableNetwork(int)> -> _SINK_
<android.net.wifi.IWifiManager$Stub$Proxy: boolean enableNetwork(int,boolean)> -> _SINK_
<android.net.wifi.IWifiManager$Stub$Proxy: boolean releaseWifiLock(android.os.IBinder)> -> _SINK_
<android.net.wifi.IWifiManager$Stub$Proxy: boolean removeNetwork(int)> -> _SINK_
<android.net.wifi.IWifiManager$Stub$Proxy: boolean setWifiEnabled(boolean)> -> _SINK_
<android.net.wifi.IWifiManager$Stub$Proxy: void acquireMulticastLock(android.os.IBinder,java.lang.String)> -> _SINK_
<android.net.wifi.IWifiManager$Stub$Proxy: void addToBlacklist(java.lang.String)> -> _SINK_
<android.net.wifi.IWifiManager$Stub$Proxy: void setCountryCode(java.lang.String,boolean)> -> _SINK_
<android.net.wifi.IWifiManager$Stub$Proxy: void setFrequencyBand(int,boolean)> -> _SINK_
<android.net.wifi.IWifiManager$Stub$Proxy: void setWifiApConfiguration(android.net.wifi.WifiConfiguration)> -> _SINK_
<android.net.wifi.IWifiManager$Stub$Proxy: void setWifiApEnabled(android.net.wifi.WifiConfiguration,boolean)> -> _SINK_
<android.net.wifi.IWifiManager$Stub$Proxy: void updateWifiLockWorkSource(android.os.IBinder,android.os.WorkSource)> -> _SINK_
<android.net.wifi.ScanResult: void writeToParcel(android.os.Parcel,int)> -> _SINK_
<android.net.wifi.WifiConfiguration: void writeToParcel(android.os.Parcel,int)> -> _SINK_
<android.net.wifi.WifiInfo: void setSupplicantState(java.lang.String)> -> _SINK_
<android.net.wifi.WifiInfo: void writeToParcel(android.os.Parcel,int)> -> _SINK_
<android.net.wifi.WifiManager$WifiLock: void setWorkSource(android.os.WorkSource)> -> _SINK_
<android.net.wifi.WifiManager: boolean setWifiApConfiguration(android.net.wifi.WifiConfiguration)> -> _SINK_
<android.net.wifi.WifiManager: boolean setWifiApEnabled(android.net.wifi.WifiConfiguration,boolean)> -> _SINK_
<android.net.wifi.WifiManager: void setCountryCode(java.lang.String,boolean)> -> _SINK_
<android.net.wifi.WifiManager: void setFrequencyBand(int,boolean)> -> _SINK_
<android.net.wifi.p2p.WifiP2pDevice: void writeToParcel(android.os.Parcel,int)> -> _SINK_
<android.net.wifi.p2p.WifiP2pDeviceList: void update(android.net.wifi.p2p.WifiP2pDevice)> -> _SINK_
<android.net.wifi.p2p.WifiP2pDeviceList: void writeToParcel(android.os.Parcel,int)> -> _SINK_
<android.net.wifi.p2p.WifiP2pGroup: void writeToParcel(android.os.Parcel,int)> -> _SINK_
<android.opengl.GLSurfaceView$LogWriter: void write(char[],int,int)> -> _SINK_
<android.os.MemoryFile$MemoryOutputStream: void write(byte[],int,int)> -> _SINK_
<android.os.MemoryFile$MemoryOutputStream: void write(int)> -> _SINK_
<android.support.v4.util.LogWriter: void write(char[],int,int)> -> _SINK_
<android.util.Base64OutputStream: void write(byte[],int,int)> -> _SINK_
<android.util.Base64OutputStream: void write(int)> -> _SINK_
<android.webkit.WebSettings: void setUserAgentString(java.lang.String)> -> _SINK_
<android.webkit.WebView: void loadData(java.lang.String,java.lang.String,java.lang.String)> -> _SINK_
<android.webkit.WebView: void loadUrl(java.lang.String)> -> _SINK_
<android.webkit.WebView: void loadUrl(java.lang.String,java.util.Map)> -> _SINK_
<com.android.internal.os.LoggingPrintStream$1: void write(int)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: java.io.PrintStream append(java.lang.CharSequence)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: java.io.PrintStream append(java.lang.CharSequence,int,int)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: java.lang.Appendable append(java.lang.CharSequence)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: java.lang.Appendable append(java.lang.CharSequence,int,int)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void print(boolean)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void print(char)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void print(char[])> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void print(double)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void print(float)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void print(int)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void print(java.lang.Object)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void print(java.lang.String)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void print(long)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void println()> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void println(boolean)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void println(char)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void println(char[])> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void println(double)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void println(float)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void println(int)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void println(java.lang.Object)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void println(java.lang.String)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void println(long)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void write(byte[])> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void write(byte[],int,int)> -> _SINK_
<com.android.internal.os.LoggingPrintStream: void write(int)> -> _SINK_
<droidsafe.concrete.DroidSafeFileOutputStream: void write(int)> -> _SINK_
<java.io.BufferedOutputStream: void write(byte[],int,int)> -> _SINK_
<java.io.BufferedOutputStream: void write(int)> -> _SINK_
<java.io.BufferedWriter: void write(char[],int,int)> -> _SINK_
<java.io.BufferedWriter: void write(int)> -> _SINK_
<java.io.BufferedWriter: void write(java.lang.String,int,int)> -> _SINK_
<java.io.ByteArrayOutputStream: void write(byte[],int,int)> -> _SINK_
<java.io.ByteArrayOutputStream: void write(int)> -> _SINK_
<java.io.CharArrayWriter: java.io.CharArrayWriter append(char)> -> _SINK_
<java.io.CharArrayWriter: java.io.Writer append(char)> -> _SINK_
<java.io.CharArrayWriter: java.lang.Appendable append(char)> -> _SINK_
<java.io.CharArrayWriter: void write(char[],int,int)> -> _SINK_
<java.io.CharArrayWriter: void write(int)> -> _SINK_
<java.io.CharArrayWriter: void write(java.lang.String,int,int)> -> _SINK_
<java.io.DataOutputStream: void write(byte[],int,int)> -> _SINK_
<java.io.DataOutputStream: void write(int)> -> _SINK_
<java.io.DataOutputStream: void writeBoolean(boolean)> -> _SINK_
<java.io.DataOutputStream: void writeByte(int)> -> _SINK_
<java.io.DataOutputStream: void writeBytes(java.lang.String)> -> _SINK_
<java.io.DataOutputStream: void writeChar(int)> -> _SINK_
<java.io.DataOutputStream: void writeChars(java.lang.String)> -> _SINK_
<java.io.DataOutputStream: void writeDouble(double)> -> _SINK_
<java.io.DataOutputStream: void writeFloat(float)> -> _SINK_
<java.io.DataOutputStream: void writeInt(int)> -> _SINK_
<java.io.DataOutputStream: void writeLong(long)> -> _SINK_
<java.io.DataOutputStream: void writeShort(int)> -> _SINK_
<java.io.DataOutputStream: void writeUTF(java.lang.String)> -> _SINK_
<java.io.EmulatedFieldsForDumping: void put(java.lang.String,boolean)> -> _SINK_
<java.io.EmulatedFieldsForDumping: void put(java.lang.String,byte)> -> _SINK_
<java.io.EmulatedFieldsForDumping: void put(java.lang.String,char)> -> _SINK_
<java.io.EmulatedFieldsForDumping: void put(java.lang.String,double)> -> _SINK_
<java.io.EmulatedFieldsForDumping: void put(java.lang.String,float)> -> _SINK_
<java.io.EmulatedFieldsForDumping: void put(java.lang.String,int)> -> _SINK_
<java.io.EmulatedFieldsForDumping: void put(java.lang.String,java.lang.Object)> -> _SINK_
<java.io.EmulatedFieldsForDumping: void put(java.lang.String,long)> -> _SINK_
<java.io.EmulatedFieldsForDumping: void put(java.lang.String,short)> -> _SINK_
<java.io.File: boolean setExecutable(boolean)> -> _SINK_
<java.io.File: boolean setExecutable(boolean,boolean)> -> _SINK_
<java.io.File: boolean setReadable(boolean)> -> _SINK_
<java.io.File: boolean setReadable(boolean,boolean)> -> _SINK_
<java.io.File: boolean setWritable(boolean)> -> _SINK_
