Application,Tool,Partition Count,Variant,Granularity,Database Entropy,Use Case Entropy,M2M Use Case Entropy,Sarah BCP
jpetstore,mem,3,3600_10-6_LC,method_level,66.92911754295561,54.14188057193732,0.0,32.27543412978614
jpetstore,mem,3,3600_10-6_LC,class_level,65.34264097200273,33.24423280453285,0.0,32.27543412978614
jpetstore,mem,3,3600_10-6_LC_SS,method_level,33.27876382498921,62.17570741815699,0.0,20.133285153429448
jpetstore,mem,3,3600_10-6_LC_SS,class_level,30.853077890261204,36.817384879745994,0.0,20.133285153429448
jpetstore,mem,3,3600_10-6_LC_TS,method_level,28.029048597543227,18.402158297598938,26.137056388801096,39.77121283750221
jpetstore,mem,3,3600_10-6_LC_TS,class_level,27.557106828667123,10.228427314668487,26.137056388801096,39.77121283750221
jpetstore,mem,3,3600_10-6_LC_TS_SS,method_level,33.27876382498921,33.12955230597954,7.671320486001365,26.621242654894097
jpetstore,mem,3,3600_10-6_LC_TS_SS,class_level,30.853077890261204,13.395308313955379,7.671320486001365,26.621242654894097
jpetstore,mem,3,3600_10-6_SS,method_level,70.68107011742579,36.47410910289556,26.137056388801096,40.96938279503248
jpetstore,mem,3,3600_10-6_SS,class_level,55.868026116630595,14.588828512706387,26.137056388801096,40.96938279503248
jpetstore,mem,3,3600_10-6_TS,method_level,40.29371533156877,7.1837425250057425,32.00930763866939,42.53627348745592
jpetstore,mem,3,3600_10-6_TS,class_level,39.67330121884003,4.414559050617973,32.00930763866939,42.53627348745592
jpetstore,mem,3,3600_10-6_TS_SS,method_level,52.64890644063149,17.356222059391115,12.274112777602186,28.8250364212997
jpetstore,mem,3,3600_10-6_TS_SS,class_level,52.176964671755385,1.6576486922255107,12.274112777602186,28.8250364212997
jpetstore,mem,3,3600_100-6_LC,method_level,100.0,45.796971833227026,10.228427314668487,20.727255345633257
jpetstore,mem,3,3600_100-6_LC,class_level,100.0,32.37045014911894,10.228427314668487,20.727255345633257
jpetstore,mem,3,3600_100-6_LC_SS,method_level,100.0,100.0,0.0,21.07849589710615
jpetstore,mem,3,3600_100-6_LC_SS,class_level,100.0,100.0,0.0,21.07849589710615
jpetstore,mem,3,3600_100-6_LC_TS,method_level,100.0,100.0,0.0,12.390170558042414
jpetstore,mem,3,3600_100-6_LC_TS,class_level,100.0,100.0,0.0,12.390170558042414
jpetstore,mem,3,3600_100-6_LC_TS_SS,method_level,100.0,100.0,0.0,12.390170558042414
jpetstore,mem,3,3600_100-6_LC_TS_SS,class_level,100.0,100.0,0.0,12.390170558042414
jpetstore,mem,3,3600_100-6_SS,method_level,72.61729424937717,58.58106803792638,0.0,22.419469217535294
jpetstore,mem,3,3600_100-6_SS,class_level,72.3361764735596,40.943877362243285,0.0,22.419469217535294
jpetstore,mem,3,3600_100-6_TS,method_level,88.78313888317906,100.0,0.0,14.756686424031129
jpetstore,mem,3,3600_100-6_TS,class_level,89.39143052841979,100.0,0.0,14.756686424031129
jpetstore,mem,3,3600_100-6_TS_SS,method_level,81.45987294511184,51.50366967152819,0.0,24.00520322110582
jpetstore,mem,3,3600_100-6_TS_SS,class_level,82.12905636247812,39.49126723179447,0.0,24.00520322110582
demo,mem,4,3600_100000_LC,method_level,100.0,100.0,0.0,0.0
demo,mem,4,3600_100000_LC,class_level,100.0,100.0,0.0,0.0
demo,mem,4,3600_100000_LC_SS,method_level,100.0,87.37580979943765,43.56176064800182,43.56176064800182
demo,mem,4,3600_100000_LC_SS,class_level,100.0,85.74967499534792,43.56176064800182,43.56176064800182
demo,mem,4,3600_100000_LC_TS,method_level,100.0,76.37045105407972,50.0,50.0
demo,mem,4,3600_100000_LC_TS,class_level,100.0,78.77072180812577,50.0,50.0
demo,mem,4,3600_100000_LC_TS_SS,method_level,100.0,87.37580979943765,43.56176064800182,43.56176064800182
