Application,Tool,Partition Count,Decomposition Type,Commits,Contributors,Class Names,Static Structural,Granularity,SMQ,CMQ,CDP,TurboMQ_commits,TurbomMQ_contributors
jpetstore,mem,3_partitions,3600_10-6_LC,X,X,X,23.174603174603174,method_level,-1,X,0.0,33.187101396646284,33.22284547800763
jpetstore,mem,3_partitions,3600_10-6_LC,X,X,X,13.978494623655916,class_level,-1,X,0.0,33.187101396646284,33.22284547800763
jpetstore,mem,3_partitions,3600_10-6_LC_SS,X,X,X,43.38235294117647,method_level,-1,X,100.0,50.123741687308375,50.562273226364375
jpetstore,mem,3_partitions,3600_10-6_LC_SS,X,X,X,33.33333333333333,class_level,-1,X,100.0,50.123741687308375,50.562273226364375
jpetstore,mem,3_partitions,3600_10-6_LC_TS,X,X,X,18.153393496256285,method_level,-1,X,6.666666666666667,16.46873485030744,16.49039161346442
jpetstore,mem,3_partitions,3600_10-6_LC_TS,X,X,X,5.9405940594059405,class_level,-1,X,6.666666666666667,16.46873485030744,16.49039161346442
jpetstore,mem,3_partitions,3600_10-6_LC_TS_SS,X,X,X,53.86093640810622,method_level,-1,X,66.66666666666666,33.21228032266064,33.439720299487526
jpetstore,mem,3_partitions,3600_10-6_LC_TS_SS,X,X,X,30.476190476190474,class_level,-1,X,66.66666666666666,33.21228032266064,33.439720299487526
jpetstore,mem,3_partitions,3600_10-6_SS,X,X,X,57.34314381270903,method_level,-1,X,10.0,19.55215155263851,19.57192575340991
jpetstore,mem,3_partitions,3600_10-6_SS,X,X,X,35.58297097785418,class_level,-1,X,10.0,19.55215155263851,19.57192575340991
jpetstore,mem,3_partitions,3600_10-6_TS,X,X,X,38.87579887579887,method_level,-1,X,20.0,19.70997833425889,19.713955085138984
jpetstore,mem,3_partitions,3600_10-6_TS,X,X,X,19.435028248587567,class_level,-1,X,20.0,19.70997833425889,19.713955085138984
jpetstore,mem,3_partitions,3600_10-6_TS_SS,X,X,X,56.875,method_level,-1,X,33.33333333333333,24.676790609927686,24.808617749738136
jpetstore,mem,3_partitions,3600_10-6_TS_SS,X,X,X,29.583333333333332,class_level,-1,X,33.33333333333333,24.676790609927686,24.808617749738136
jpetstore,mem,3_partitions,3600_100-6_LC,X,X,X,54.99525706697022,method_level,-1,X,0.0,33.093962451037775,33.08791991570633
jpetstore,mem,3_partitions,3600_100-6_LC,X,X,X,31.71806167400881,class_level,-1,X,0.0,33.093962451037775,33.08791991570633
