Application,Tool,Partition Count,Decomposition Type,Granularity,Mojo-D,Mojo,C2C 50,C2C 33,C2C 10
jpetstore,mem,3_partitions,3600_10-6_LC,class,X,47.62,25.0,50.0,100.0
jpetstore,mem,3_partitions,3600_10-6_LC,method,X,70.72,75.0,75.0,100.0
jpetstore,mem,3_partitions,3600_10-6_LC_SS,class,X,33.33,33.33333333333333,33.33333333333333,100.0
jpetstore,mem,3_partitions,3600_10-6_LC_SS,method,X,51.97,33.33333333333333,66.66666666666666,66.66666666666666
jpetstore,mem,3_partitions,3600_10-6_LC_TS,class,X,33.33,0.0,28.57142857142857,85.71428571428571
jpetstore,mem,3_partitions,3600_10-6_LC_TS,method,X,62.5,28.57142857142857,28.57142857142857,85.71428571428571
jpetstore,mem,3_partitions,3600_10-6_LC_TS_SS,class,X,28.57,25.0,25.0,75.0
jpetstore,mem,3_partitions,3600_10-6_LC_TS_SS,method,X,55.26,25.0,50.0,75.0
jpetstore,mem,3_partitions,3600_10-6_SS,class,X,57.14,33.33333333333333,50.0,83.33333333333334
jpetstore,mem,3_partitions,3600_10-6_SS,method,X,65.46,0.0,50.0,83.33333333333334
jpetstore,mem,3_partitions,3600_10-6_TS,class,X,33.33,16.666666666666664,33.33333333333333,83.33333333333334
jpetstore,mem,3_partitions,3600_10-6_TS,method,X,70.72,33.33333333333333,66.66666666666666,100.0
jpetstore,mem,3_partitions,3600_10-6_TS_SS,class,X,42.86,40.0,40.0,60.0
jpetstore,mem,3_partitions,3600_10-6_TS_SS,method,X,65.13,20.0,60.0,80.0
jpetstore,mem,3_partitions,3600_100-6_LC,class,X,38.1,0.0,25.0,75.0
jpetstore,mem,3_partitions,3600_100-6_LC,method,X,54.93,0.0,25.0,75.0
jpetstore,mem,3_partitions,3600_100-6_LC_SS,class,X,42.86,0.0,100.0,100.0
jpetstore,mem,3_partitions,3600_100-6_LC_SS,method,X,53.62,0.0,100.0,100.0
jpetstore,mem,3_partitions,3600_100-6_LC_TS,class,X,38.1,0.0,50.0,100.0
jpetstore,mem,3_partitions,3600_100-6_LC_TS,method,X,45.07,0.0,50.0,100.0
jpetstore,mem,3_partitions,3600_100-6_LC_TS_SS,class,X,38.1,0.0,50.0,100.0
jpetstore,mem,3_partitions,3600_100-6_LC_TS_SS,method,X,45.07,0.0,50.0,100.0
jpetstore,mem,3_partitions,3600_100-6_SS,class,X,42.86,25.0,50.0,75.0
jpetstore,mem,3_partitions,3600_100-6_SS,method,X,53.95,25.0,75.0,75.0
jpetstore,mem,3_partitions,3600_100-6_TS,class,X,33.33,0.0,33.33333333333333,33.33333333333333
jpetstore,mem,3_partitions,3600_100-6_TS,method,X,42.11,0.0,33.33333333333333,33.33333333333333
jpetstore,mem,3_partitions,3600_100-6_TS_SS,class,X,38.1,0.0,66.66666666666666,100.0
jpetstore,mem,3_partitions,3600_100-6_TS_SS,method,X,64.47,66.66666666666666,100.0,100.0
demo,mem,4_partitions,3600_100000_LC,class,X,30.23,100.0,100.0,100.0
demo,mem,4_partitions,3600_100000_LC,method,X,35.53,100.0,100.0,100.0
demo,mem,4_partitions,3600_100000_LC_SS,class,X,25.58,0.0,33.33333333333333,66.66666666666666
demo,mem,4_partitions,3600_100000_LC_SS,method,X,47.37,33.33333333333333,66.66666666666666,100.0
demo,mem,4_partitions,3600_100000_LC_TS,class,X,34.88,0.0,50.0,75.0
demo,mem,4_partitions,3600_100000_LC_TS,method,X,42.76,25.0,50.0,75.0
demo,mem,4_partitions,3600_100000_LC_TS_SS,class,X,27.91,0.0,20.0,40.0
demo,mem,4_partitions,3600_100000_LC_TS_SS,method,X,48.36,0.0,40.0,80.0
demo,mem,4_partitions,3600_100000_SS,class,X,27.91,0.0,33.33333333333333,66.66666666666666
demo,mem,4_partitions,3600_100000_SS,method,X,44.41,33.33333333333333,66.66666666666666,66.66666666666666
demo,mem,4_partitions,3600_100000_TS,class,X,34.88,0.0,40.0,60.0
demo,mem,4_partitions,3600_100000_TS,method,X,44.08,20.0,40.0,60.0
demo,mem,4_partitions,3600_100000_TS_SS,class,X,27.91,0.0,20.0,40.0
demo,mem,4_partitions,3600_100000_TS_SS,method,X,48.36,0.0,40.0,80.0
partsunlimited,mem,5_partitions,3600_1000_LC,class,X,27.08,0.0,50.0,100.0
partsunlimited,mem,5_partitions,3600_1000_LC,method,X,33.25,50.0,50.0,100.0
partsunlimited,mem,5_partitions,3600_1000_LC_SS,class,X,20.83,0.0,0.0,75.0
partsunlimited,mem,5_partitions,3600_1000_LC_SS,method,X,26.35,0.0,0.0,50.0
partsunlimited,mem,5_partitions,3600_1000_LC_TS,class,X,22.92,0.0,0.0,66.66666666666666
partsunlimited,mem,5_partitions,3600_1000_LC_TS,method,X,25.62,0.0,0.0,50.0
partsunlimited,mem,5_partitions,3600_1000_LC_TS_SS,class,X,25.0,0.0,0.0,50.0
partsunlimited,mem,5_partitions,3600_1000_LC_TS_SS,method,X,25.62,0.0,0.0,50.0
partsunlimited,mem,5_partitions,3600_1000_SS,class,X,25.0,0.0,0.0,100.0
partsunlimited,mem,5_partitions,3600_1000_SS,method,X,35.96,33.33333333333333,33.33333333333333,100.0
partsunlimited,mem,5_partitions,3600_1000_TS,class,X,25.0,0.0,0.0,66.66666666666666
partsunlimited,mem,5_partitions,3600_1000_TS,method,X,25.37,0.0,0.0,33.33333333333333
partsunlimited,mem,5_partitions,3600_1000_TS_SS,class,X,25.0,0.0,0.0,50.0
partsunlimited,mem,5_partitions,3600_1000_TS_SS,method,X,25.62,0.0,0.0,50.0
demo,mem,4_partitions,3600_100_LC,class,X,30.23,100.0,100.0,100.0
demo,mem,4_partitions,3600_100_LC,method,X,35.53,50.0,100.0,100.0
