Application,Tool,Partition Count,Variant,Granularity,NED,Completeness,Actual Partition Count,Min,Max,Mean,Stdev,Median
jpetstore,mem,3,3600_10-6_LC,method_level,34.6820809248555,173 (57.3%),3,12,101,57.666666666666664,44.54585652261424,60.0
jpetstore,mem,3,3600_10-6_LC,class_level,53.84615384615385,13 (54.2%),3,3,6,4.333333333333333,1.5275252316519468,4.0
jpetstore,mem,3,3600_10-6_LC_SS,method_level,11.688311688311693,154 (51.0%),2,18,136,77.0,83.43860018001261,77.0
jpetstore,mem,3,3600_10-6_LC_SS,class_level,27.27272727272727,11 (45.8%),2,3,8,5.5,3.5355339059327378,5.5
jpetstore,mem,3,3600_10-6_LC_TS,method_level,17.624521072796938,261 (86.4%),6,4,127,43.5,47.80690326720609,23.0
jpetstore,mem,3,3600_10-6_LC_TS,class_level,61.111111111111114,18 (75.0%),6,2,7,3.0,2.0,2.0
jpetstore,mem,3,3600_10-6_LC_TS_SS,method_level,30.25641025641026,195 (64.6%),3,18,136,65.0,62.55397669213365,41.0
jpetstore,mem,3,3600_10-6_LC_TS_SS,class_level,38.46153846153846,13 (54.2%),3,2,8,4.333333333333333,3.2145502536643185,3.0
jpetstore,mem,3,3600_10-6_SS,method_level,59.84848484848485,132 (43.7%),5,2,51,26.4,17.756688880531755,26.0
jpetstore,mem,3,3600_10-6_SS,class_level,42.85714285714286,14 (58.3%),5,1,4,2.8,1.3038404810405297,3.0
jpetstore,mem,3,3600_10-6_TS,method_level,100.0,204 (67.5%),5,22,55,40.8,13.292855223765885,39.0
jpetstore,mem,3,3600_10-6_TS,class_level,37.5,16 (66.7%),5,2,5,3.2,1.6431676725154984,2.0
jpetstore,mem,3,3600_10-6_TS_SS,method_level,100.0,155 (51.3%),4,14,51,38.75,17.05627939108253,45.0
jpetstore,mem,3,3600_10-6_TS_SS,class_level,100.0,12 (50.0%),4,2,4,3.0,1.1547005383792515,3.0
jpetstore,mem,3,3600_100-6_LC,method_level,8.904109589041099,292 (96.7%),3,14,252,97.33333333333333,134.07957836051443,26.0
jpetstore,mem,3,3600_100-6_LC,class_level,9.523809523809524,21 (87.5%),3,1,18,7.0,9.539392014169456,2.0
jpetstore,mem,3,3600_100-6_LC_SS,method_level,0.0,252 (83.4%),1,252,252,252.0,0.0,252.0
jpetstore,mem,3,3600_100-6_LC_SS,class_level,0.0,18 (75.0%),1,18,18,18.0,0.0,18.0
jpetstore,mem,3,3600_100-6_LC_TS,method_level,0.0,278 (92.1%),1,278,278,278.0,0.0,278.0
jpetstore,mem,3,3600_100-6_LC_TS,class_level,0.0,19 (79.2%),1,19,19,19.0,0.0,19.0
jpetstore,mem,3,3600_100-6_LC_TS_SS,method_level,0.0,278 (92.1%),1,278,278,278.0,0.0,278.0
jpetstore,mem,3,3600_100-6_LC_TS_SS,class_level,0.0,19 (79.2%),1,19,19,19.0,0.0,19.0
jpetstore,mem,3,3600_100-6_SS,method_level,29.44444444444444,180 (59.6%),3,2,125,60.0,61.7980582219215,53.0
jpetstore,mem,3,3600_100-6_SS,class_level,25.0,20 (83.3%),3,1,14,6.666666666666667,6.658328118479393,5.0
jpetstore,mem,3,3600_100-6_TS,method_level,0.0,299 (99.0%),2,4,295,149.5,205.76807332528534,149.5
jpetstore,mem,3,3600_100-6_TS,class_level,0.0,23 (95.8%),2,2,21,11.5,13.435028842544403,11.5
jpetstore,mem,3,3600_100-6_TS_SS,method_level,20.564516129032263,248 (82.1%),2,51,197,124.0,103.23759005323593,124.0
jpetstore,mem,3,3600_100-6_TS_SS,class_level,23.529411764705888,17 (70.8%),2,4,13,8.5,6.363961030678928,8.5
demo,mem,4,3600_100000_LC,method_level,0.0,105 (35.6%),1,105,105,105.0,0.0,105.0
demo,mem,4,3600_100000_LC,class_level,0.0,25 (53.2%),1,25,25,25.0,0.0,25.0
demo,mem,4,3600_100000_LC_SS,method_level,0.0,253 (85.8%),2,9,244,126.5,166.17009357883867,126.5
demo,mem,4,3600_100000_LC_SS,class_level,0.0,44 (93.6%),2,1,43,22.0,29.698484809834994,22.0
demo,mem,4,3600_100000_LC_TS,method_level,0.0,189 (64.1%),3,9,171,63.0,93.53074360871938,9.0
demo,mem,4,3600_100000_LC_TS,class_level,0.0,40 (85.1%),3,2,36,13.333333333333334,19.629909152447276,2.0
demo,mem,4,3600_100000_LC_TS_SS,method_level,0.0,261 (88.5%),4,6,236,65.25,113.8460217428201,9.5
demo,mem,4,3600_100000_LC_TS_SS,class_level,0.0,46 (97.9%),4,1,42,11.5,20.33879708012907,1.5
demo,mem,4,3600_100000_SS,method_level,0.0,254 (86.1%),2,2,252,127.0,176.7766952966369,127.0
demo,mem,4,3600_100000_SS,class_level,0.0,44 (93.6%),2,1,43,22.0,29.698484809834994,22.0
demo,mem,4,3600_100000_TS,method_level,21.134020618556704,194 (65.8%),4,1,142,48.5,64.64518543557594,25.5
demo,mem,4,3600_100000_TS,class_level,9.999999999999998,40 (85.1%),4,1,33,10.0,15.383974345619102,3.0
demo,mem,4,3600_100000_TS_SS,method_level,0.0,261 (88.5%),4,6,236,65.25,113.8460217428201,9.5
demo,mem,4,3600_100000_TS_SS,class_level,0.0,46 (97.9%),4,1,42,11.5,20.33879708012907,1.5
