method full name,reference decomposition,duplicate
org.mybatis.jpetstore.domain.Account.getAddress1(),account,
org.mybatis.jpetstore.domain.Account.getAddress2(),account,
org.mybatis.jpetstore.domain.Account.getBannerName(),account,
org.mybatis.jpetstore.domain.Account.getCity(),account,
org.mybatis.jpetstore.domain.Account.getCountry(),account,
org.mybatis.jpetstore.domain.Account.getEmail(),account,
org.mybatis.jpetstore.domain.Account.getFavouriteCategoryId(),account,
org.mybatis.jpetstore.domain.Account.getFirstName(),account,
org.mybatis.jpetstore.domain.Account.getLanguagePreference(),account,
org.mybatis.jpetstore.domain.Account.getLastName(),account,
org.mybatis.jpetstore.domain.Account.getPassword(),account,
org.mybatis.jpetstore.domain.Account.getPhone(),account,
org.mybatis.jpetstore.domain.Account.getState(),account,
org.mybatis.jpetstore.domain.Account.getStatus(),account,
org.mybatis.jpetstore.domain.Account.getUsername(),account,
org.mybatis.jpetstore.domain.Account.getZip(),account,
org.mybatis.jpetstore.domain.Account.isBannerOption(),account,
org.mybatis.jpetstore.domain.Account.isListOption(),account,
org.mybatis.jpetstore.domain.Account.setAddress1(String address1),account,
org.mybatis.jpetstore.domain.Account.setAddress2(String address2),account,
org.mybatis.jpetstore.domain.Account.setBannerName(String bannerName),account,
org.mybatis.jpetstore.domain.Account.setBannerOption(boolean bannerOption),account,
org.mybatis.jpetstore.domain.Account.setCity(String city),account,
org.mybatis.jpetstore.domain.Account.setCountry(String country),account,
org.mybatis.jpetstore.domain.Account.setEmail(String email),account,
org.mybatis.jpetstore.domain.Account.setFavouriteCategoryId(String favouriteCategoryId),account,
org.mybatis.jpetstore.domain.Account.setFirstName(String firstName),account,
org.mybatis.jpetstore.domain.Account.setLanguagePreference(String languagePreference),account,
org.mybatis.jpetstore.domain.Account.setLastName(String lastName),account,
org.mybatis.jpetstore.domain.Account.setListOption(boolean listOption),account,
org.mybatis.jpetstore.domain.Account.setPassword(String password),account,
org.mybatis.jpetstore.domain.Account.setPhone(String phone),account,
org.mybatis.jpetstore.domain.Account.setState(String state),account,
org.mybatis.jpetstore.domain.Account.setStatus(String status),account,
org.mybatis.jpetstore.domain.Account.setUsername(String username),account,
org.mybatis.jpetstore.domain.Account.setZip(String zip),account,
"org.mybatis.jpetstore.domain.Cart.addItem(Item item,boolean isInStock)",order,
org.mybatis.jpetstore.domain.Cart.containsItemId(String itemId),order,
org.mybatis.jpetstore.domain.Cart.getAllCartItems(),order,
org.mybatis.jpetstore.domain.Cart.getCartItemList(),order,
org.mybatis.jpetstore.domain.Cart.getCartItems(),order,
org.mybatis.jpetstore.domain.Cart.getNumberOfItems(),order,
org.mybatis.jpetstore.domain.Cart.getSubTotal(),order,
org.mybatis.jpetstore.domain.Cart.getSubTotal.(lambda_expr_1)(CartItem (inferred) cartItem),order,
org.mybatis.jpetstore.domain.Cart.incrementQuantityByItemId(String itemId),order,
org.mybatis.jpetstore.domain.Cart.removeItemById(String itemId),order,
"org.mybatis.jpetstore.domain.Cart.setQuantityByItemId(String itemId,int quantity)",order,
org.mybatis.jpetstore.domain.CartItem.calculateTotal(),order,
org.mybatis.jpetstore.domain.CartItem.calculateTotal.(lambda_expr_1)(U (inferred) v),order,
org.mybatis.jpetstore.domain.CartItem.getItem(),order,
org.mybatis.jpetstore.domain.CartItem.getQuantity(),order,
org.mybatis.jpetstore.domain.CartItem.getTotal(),order,
org.mybatis.jpetstore.domain.CartItem.incrementQuantity(),order,
org.mybatis.jpetstore.domain.CartItem.isInStock(),order,
org.mybatis.jpetstore.domain.CartItem.setInStock(boolean inStock),order,
org.mybatis.jpetstore.domain.CartItem.setItem(Item item),order,
org.mybatis.jpetstore.domain.CartItem.setQuantity(int quantity),order,
org.mybatis.jpetstore.domain.Category.getCategoryId(),catalog,
org.mybatis.jpetstore.domain.Category.getDescription(),catalog,
org.mybatis.jpetstore.domain.Category.getName(),catalog,
org.mybatis.jpetstore.domain.Category.setCategoryId(String categoryId),catalog,
org.mybatis.jpetstore.domain.Category.setDescription(String description),catalog,
org.mybatis.jpetstore.domain.Category.setName(String name),catalog,
org.mybatis.jpetstore.domain.Category.toString(),catalog,
org.mybatis.jpetstore.domain.Item.getAttribute1(),catalog,
org.mybatis.jpetstore.domain.Item.getAttribute2(),catalog,
org.mybatis.jpetstore.domain.Item.getAttribute3(),catalog,
org.mybatis.jpetstore.domain.Item.getAttribute4(),catalog,
org.mybatis.jpetstore.domain.Item.getAttribute5(),catalog,
org.mybatis.jpetstore.domain.Item.getItemId(),catalog,
org.mybatis.jpetstore.domain.Item.getListPrice(),catalog,
org.mybatis.jpetstore.domain.Item.getProduct(),catalog,
org.mybatis.jpetstore.domain.Item.getQuantity(),catalog,
org.mybatis.jpetstore.domain.Item.getStatus(),catalog,
org.mybatis.jpetstore.domain.Item.getSupplierId(),catalog,
org.mybatis.jpetstore.domain.Item.getUnitCost(),catalog,
org.mybatis.jpetstore.domain.Item.setAttribute1(String attribute1),catalog,
org.mybatis.jpetstore.domain.Item.setAttribute2(String attribute2),catalog,
org.mybatis.jpetstore.domain.Item.setAttribute3(String attribute3),catalog,
org.mybatis.jpetstore.domain.Item.setAttribute4(String attribute4),catalog,
org.mybatis.jpetstore.domain.Item.setAttribute5(String attribute5),catalog,
org.mybatis.jpetstore.domain.Item.setItemId(String itemId),catalog,
org.mybatis.jpetstore.domain.Item.setListPrice(BigDecimal listPrice),catalog,
org.mybatis.jpetstore.domain.Item.setProduct(Product product),catalog,
org.mybatis.jpetstore.domain.Item.setQuantity(int quantity),catalog,
org.mybatis.jpetstore.domain.Item.setStatus(String status),catalog,
org.mybatis.jpetstore.domain.Item.setSupplierId(int supplierId),catalog,
org.mybatis.jpetstore.domain.Item.setUnitCost(BigDecimal unitCost),catalog,
org.mybatis.jpetstore.domain.Item.toString(),catalog,
org.mybatis.jpetstore.domain.LineItem.calculateTotal(),order,
org.mybatis.jpetstore.domain.LineItem.calculateTotal.(lambda_expr_1)(U (inferred) v),order,
org.mybatis.jpetstore.domain.LineItem.getItem(),order,
org.mybatis.jpetstore.domain.LineItem.getItemId(),order,
org.mybatis.jpetstore.domain.LineItem.getLineNumber(),order,
org.mybatis.jpetstore.domain.LineItem.getOrderId(),order,
org.mybatis.jpetstore.domain.LineItem.getQuantity(),order,
org.mybatis.jpetstore.domain.LineItem.getTotal(),order,
org.mybatis.jpetstore.domain.LineItem.getUnitPrice(),order,
org.mybatis.jpetstore.domain.LineItem.LineItem(),order,
"org.mybatis.jpetstore.domain.LineItem.LineItem(int lineNumber,CartItem cartItem)",order,
org.mybatis.jpetstore.domain.LineItem.setItem(Item item),order,
org.mybatis.jpetstore.domain.LineItem.setItemId(String itemId),order,
org.mybatis.jpetstore.domain.LineItem.setLineNumber(int lineNumber),order,
org.mybatis.jpetstore.domain.LineItem.setOrderId(int orderId),order,
org.mybatis.jpetstore.domain.LineItem.setQuantity(int quantity),order,
org.mybatis.jpetstore.domain.LineItem.setUnitPrice(BigDecimal unitprice),order,
org.mybatis.jpetstore.domain.Order.addLineItem(CartItem cartItem),order,
org.mybatis.jpetstore.domain.Order.addLineItem(LineItem lineItem),order,
org.mybatis.jpetstore.domain.Order.getBillAddress1(),order,
org.mybatis.jpetstore.domain.Order.getBillAddress2(),order,
org.mybatis.jpetstore.domain.Order.getBillCity(),order,
org.mybatis.jpetstore.domain.Order.getBillCountry(),order,
org.mybatis.jpetstore.domain.Order.getBillState(),order,
org.mybatis.jpetstore.domain.Order.getBillToFirstName(),order,
org.mybatis.jpetstore.domain.Order.getBillToLastName(),order,
org.mybatis.jpetstore.domain.Order.getBillZip(),order,
org.mybatis.jpetstore.domain.Order.getCardType(),order,
org.mybatis.jpetstore.domain.Order.getCourier(),order,
org.mybatis.jpetstore.domain.Order.getCreditCard(),order,
org.mybatis.jpetstore.domain.Order.getExpiryDate(),order,
org.mybatis.jpetstore.domain.Order.getLineItems(),order,
org.mybatis.jpetstore.domain.Order.getLocale(),order,
org.mybatis.jpetstore.domain.Order.getOrderDate(),order,
org.mybatis.jpetstore.domain.Order.getOrderId(),order,
org.mybatis.jpetstore.domain.Order.getShipAddress1(),order,
org.mybatis.jpetstore.domain.Order.getShipAddress2(),order,
org.mybatis.jpetstore.domain.Order.getShipCity(),order,
org.mybatis.jpetstore.domain.Order.getShipCountry(),order,
org.mybatis.jpetstore.domain.Order.getShipState(),order,
org.mybatis.jpetstore.domain.Order.getShipToFirstName(),order,
org.mybatis.jpetstore.domain.Order.getShipToLastName(),order,
org.mybatis.jpetstore.domain.Order.getShipZip(),order,
org.mybatis.jpetstore.domain.Order.getStatus(),order,
org.mybatis.jpetstore.domain.Order.getTotalPrice(),order,
org.mybatis.jpetstore.domain.Order.getUsername(),order,
"org.mybatis.jpetstore.domain.Order.initOrder(Account account,Cart cart)",order,
org.mybatis.jpetstore.domain.Order.setBillAddress1(String billAddress1),order,
org.mybatis.jpetstore.domain.Order.setBillAddress2(String billAddress2),order,
org.mybatis.jpetstore.domain.Order.setBillCity(String billCity),order,
org.mybatis.jpetstore.domain.Order.setBillCountry(String billCountry),order,
org.mybatis.jpetstore.domain.Order.setBillState(String billState),order,
org.mybatis.jpetstore.domain.Order.setBillToFirstName(String billToFirstName),order,
org.mybatis.jpetstore.domain.Order.setBillToLastName(String billToLastName),order,
org.mybatis.jpetstore.domain.Order.setBillZip(String billZip),order,
org.mybatis.jpetstore.domain.Order.setCardType(String cardType),order,
org.mybatis.jpetstore.domain.Order.setCourier(String courier),order,
org.mybatis.jpetstore.domain.Order.setCreditCard(String creditCard),order,
org.mybatis.jpetstore.domain.Order.setExpiryDate(String expiryDate),order,
org.mybatis.jpetstore.domain.Order.setLineItems(List<LineItem> lineItems),order,
org.mybatis.jpetstore.domain.Order.setLocale(String locale),order,
org.mybatis.jpetstore.domain.Order.setOrderDate(Date orderDate),order,
org.mybatis.jpetstore.domain.Order.setOrderId(int orderId),order,
org.mybatis.jpetstore.domain.Order.setShipAddress1(String shipAddress1),order,
org.mybatis.jpetstore.domain.Order.setShipAddress2(String shipAddress2),order,
org.mybatis.jpetstore.domain.Order.setShipCity(String shipCity),order,
org.mybatis.jpetstore.domain.Order.setShipCountry(String shipCountry),order,
org.mybatis.jpetstore.domain.Order.setShipState(String shipState),order,
org.mybatis.jpetstore.domain.Order.setShipToFirstName(String shipFoFirstName),order,
org.mybatis.jpetstore.domain.Order.setShipToLastName(String shipToLastName),order,
org.mybatis.jpetstore.domain.Order.setShipZip(String shipZip),order,
org.mybatis.jpetstore.domain.Order.setStatus(String status),order,
org.mybatis.jpetstore.domain.Order.setTotalPrice(BigDecimal totalPrice),order,
org.mybatis.jpetstore.domain.Order.setUsername(String username),order,
org.mybatis.jpetstore.domain.Product.getCategoryId(),catalog,
org.mybatis.jpetstore.domain.Product.getDescription(),catalog,
org.mybatis.jpetstore.domain.Product.getName(),catalog,
org.mybatis.jpetstore.domain.Product.getProductId(),catalog,
org.mybatis.jpetstore.domain.Product.setCategoryId(String categoryId),catalog,
org.mybatis.jpetstore.domain.Product.setDescription(String description),catalog,
org.mybatis.jpetstore.domain.Product.setName(String name),catalog,
org.mybatis.jpetstore.domain.Product.setProductId(String productId),catalog,
org.mybatis.jpetstore.domain.Product.toString(),catalog,
org.mybatis.jpetstore.domain.Sequence.getName(),order,
org.mybatis.jpetstore.domain.Sequence.getNextId(),order,
org.mybatis.jpetstore.domain.Sequence.Sequence(),order,
"org.mybatis.jpetstore.domain.Sequence.Sequence(String name,int nextId)",order,
org.mybatis.jpetstore.domain.Sequence.setName(String name),order,
org.mybatis.jpetstore.domain.Sequence.setNextId(int nextId),order,
org.mybatis.jpetstore.mapper.AccountMapper.getAccountByUsername(String username),account,
"org.mybatis.jpetstore.mapper.AccountMapper.getAccountByUsernameAndPassword(String username,String password)",account,
org.mybatis.jpetstore.mapper.AccountMapper.insertAccount(Account account),account,
org.mybatis.jpetstore.mapper.AccountMapper.insertProfile(Account account),account,
