class full name,class short name,reference decomposition,duplicate,notes
smpl.ordering.repositories.RepositoryFactory,RepositoryFactory,catalog,TRUE,
smpl.ordering.SimpleCORSFilter,SimpleCORSFilter,catalog,TRUE,
smpl.ordering.TestPath,TestPath,catalog,TRUE,
smpl.ordering.Utility,Utility,catalog,TRUE,
smpl.ordering.controllers.CatalogController,CatalogController,catalog,,
smpl.ordering.models.CatalogItem,CatalogItem,catalog,,
smpl.ordering.OrderingConfiguration,OrderingConfiguration,catalog,,
smpl.ordering.repositories.CatalogItemsRepository,CatalogItemsRepository,catalog,,
smpl.ordering.repositories.mock.MockCatalogItemsRepository,MockCatalogItemsRepository,catalog,,
smpl.ordering.repositories.mongodb.models.CatalogItem,CatalogItem1,catalog,,
smpl.ordering.repositories.mongodb.MongoCatalogItemsRepository,MongoCatalogItemsRepository,catalog,,
smpl.ordering.OrderingConfiguration,OrderingConfiguration,dealer,TRUE,
smpl.ordering.Utility,Utility,dealer,TRUE,
smpl.ordering.controllers.DealerController,DealerController,dealer,,
smpl.ordering.models.DealerInfo,DealerInfo,dealer,,
smpl.ordering.repositories.DealersRepository,DealersRepository,dealer,,
smpl.ordering.repositories.mongodb.MongoDealersRepository,MongoDealsRepository,dealer,,
smpl.ordering.BadRequestException,BadRequestException,order,TRUE,
smpl.ordering.ConflictingRequestException,ConflictingRequestException,order,TRUE,
smpl.ordering.OrderingConfiguration,OrderingConfiguration,order,TRUE,
smpl.ordering.repositories.RepositoryFactory,RepositoryFactory,order,TRUE,
smpl.ordering.SimpleCORSFilter,SimpleCORSFilter,order,TRUE,
smpl.ordering.TestPath,TestPath,order,TRUE,
smpl.ordering.Utility,Utility,order,TRUE,
smpl.ordering.controllers.OrderController,OrderController,order,,
smpl.ordering.models.Order,Order,order,,
smpl.ordering.models.OrderEventInfo,OrderEventInfo,order,,
smpl.ordering.models.OrderStatus,OrderStatus,order,,
smpl.ordering.models.OrderUpdateInfo,OrderUpdateInfo,order,,
smpl.ordering.repositories.mock.MockOrderRepository,MockOrderRepository,order,,
smpl.ordering.repositories.mongodb.models.OrderDetails,OrderDetails,order,,
smpl.ordering.repositories.mongodb.MongoOrderRepository,MongoOrderRepository,order,,
smpl.ordering.repositories.OrderRepository,OrderRepository,order,,
smpl.ordering.BadRequestException,BadRequestException,quote,TRUE,
smpl.ordering.OrderingConfiguration,OrderingConfiguration,quote,TRUE,
smpl.ordering.repositories.RepositoryFactory,RepositoryFactory,quote,TRUE,
smpl.ordering.SimpleCORSFilter,SimpleCORSFilter,quote,TRUE,
smpl.ordering.TestPath,TestPath,quote,TRUE,
smpl.ordering.Utility,Utility,quote,TRUE,
smpl.ordering.controllers.QuoteController,QuoteController,quote,,
smpl.ordering.models.Quote,Quote,quote,,
smpl.ordering.models.QuoteItemInfo,QuoteItemInfo,quote,,
smpl.ordering.repositories.mock.MockQuoteRepository,MockQuoteRepository,quote,,
smpl.ordering.repositories.mongodb.models.QuoteDetails,QuoteDetails,quote,,
smpl.ordering.repositories.mongodb.MongoQuoteRepository,MongoQuoteRepository,quote,,
smpl.ordering.repositories.QuoteRepository,QuoteRepository,quote,,
smpl.ordering.BadRequestException,BadRequestException,shipment,TRUE,
smpl.ordering.ConflictingRequestException,ConflictingRequestException,shipment,TRUE,
smpl.ordering.OrderingConfiguration,OrderingConfiguration,shipment,TRUE,
smpl.ordering.repositories.RepositoryFactory,RepositoryFactory,shipment,TRUE,
smpl.ordering.SimpleCORSFilter,SimpleCORSFilter,shipment,TRUE,
smpl.ordering.TestPath,TestPath,shipment,TRUE,
smpl.ordering.Utility,Utility,shipment,TRUE,
smpl.ordering.controllers.ShipmentController,ShipmentController,shipment,,
smpl.ordering.models.Delivery,Delivery,shipment,,
smpl.ordering.models.DeliveryAddress,DeliveryAddress,shipment,,
smpl.ordering.models.PhoneInfo,PhoneInfo,shipment,,
smpl.ordering.models.ShipmentEventInfo,ShipmentEventInfo,shipment,,
smpl.ordering.models.ShipmentRecord,ShipmentRecord,shipment,,
smpl.ordering.repositories.mock.MockShipmentRepository,MockShipmentRepository,shipment,,
smpl.ordering.repositories.mongodb.models.ShipmentDetails,ShipmentDetails,shipment,,
smpl.ordering.repositories.mongodb.MongoShipmentRepository,MongoShipmentRepository,shipment,,
smpl.ordering.repositories.ShipmentRepository,ShipmentRepository,shipment,,
smpl.ordering.AppInsightsFilter,AppInsightsFilter,uncounted,,not in microservice
smpl.ordering.controllers.PingController,PingController,uncounted,,not in microservice
smpl.ordering.MongoDBProperties,MongoDBProperties,uncounted,,not in microservice
smpl.ordering.OrderingInitializer,OrderingInitializer,uncounted,,not in microservice
smpl.ordering.OrderingServiceProperties,OrderingServiceProperties,uncounted,,not in microservice
smpl.ordering.PostgresqlProperties,PostgresqlProperties,uncounted,,not in microservice
smpl.ordering.PropertyHelper,PropertyHelper,uncounted,,not in microservice
smpl.ordering.repositories.mock.MockDealersRepository,MockDealersRepository,uncounted,,not in microservice
smpl.ordering.repositories.mongodb.models.Dealer,Dealer,uncounted,,not in microservice
smpl.ordering.repositories.mongodb.MongoOperationsWithRetry,MongoOperationsWithRetry,uncounted,,not in microservice
