source_method,reference_decomposition,duplicate,notes
smpl.ordering.OrderingConfiguration.getApplicationContext(),catalog,TRUE,not in microservice
smpl.ordering.OrderingConfiguration.getTelemetryClient(),catalog,TRUE,not in microservice
smpl.ordering.OrderingConfiguration.main(String[] args),catalog,TRUE,class duplicate in all five partitions
smpl.ordering.OrderingConfiguration.mongoTemplate(),catalog,TRUE,not in microservice
smpl.ordering.OrderingConfiguration.OrderingConfiguration(),catalog,TRUE,not in microservice
smpl.ordering.OrderingConfiguration.orderingServiceProperties(),catalog,TRUE,not in microservice
smpl.ordering.OrderingConfiguration.repositoryFactory(),catalog,TRUE,not in microservice
smpl.ordering.OrderingConfiguration.setApplicationContext(ApplicationContext context),catalog,TRUE,not in microservice
smpl.ordering.repositories.RepositoryFactory.getFactory(),catalog,TRUE,
smpl.ordering.repositories.RepositoryFactory.init(String storage),catalog,TRUE,
smpl.ordering.repositories.RepositoryFactory.RepositoryFactory(String storage),catalog,TRUE,
smpl.ordering.repositories.RepositoryFactory.reset(String storage),catalog,TRUE,
smpl.ordering.SimpleCORSFilter.destroy(),catalog,TRUE,
"smpl.ordering.SimpleCORSFilter.doFilter(ServletRequest req,ServletResponse res,FilterChain chain)",catalog,TRUE,
smpl.ordering.SimpleCORSFilter.init(FilterConfig filterConfig),catalog,TRUE,
smpl.ordering.TestPath.reset(),catalog,TRUE,
smpl.ordering.Utility.getTelemetryClient(),catalog,TRUE,not in microservice
smpl.ordering.Utility.isNullOrEmpty(String str),catalog,TRUE,
"smpl.ordering.Utility.validateStringField(String field,String fieldName,int count,StringBuilder errors)",catalog,TRUE,
smpl.ordering.controllers.CatalogController.addCatalogItem(CatalogItem info),catalog,,
smpl.ordering.controllers.CatalogController.getCatalogItem(String sku),catalog,,
smpl.ordering.controllers.CatalogController.getCatalogItems(),catalog,,
smpl.ordering.controllers.CatalogController.getRepository(),catalog,,not in microservice
smpl.ordering.controllers.CatalogController.removeCatalogItem(String sku),catalog,,
"smpl.ordering.controllers.CatalogController.upsertCatalogItem(String sku,CatalogItem info)",catalog,,
smpl.ordering.models.CatalogItem.CatalogItem(),catalog,,
smpl.ordering.models.CatalogItem.CatalogItem(CatalogItem catalogItem),catalog,,
"smpl.ordering.models.CatalogItem.CatalogItem(String skuNumber,String description,double price,int inventory,int leadTime)",catalog,,
smpl.ordering.models.CatalogItem.getDescription(),catalog,,
smpl.ordering.models.CatalogItem.getInventory(),catalog,,
